0.14642,0.11292,0.12436,0.16433,0.27099,0.34422,0.29111,0.15476,0.21093,0.19884,0.10608,0.061324,0.12387,0.23883,0.34158
0.25712,0.1973,0.19141,0.13579,0.10336,0.16032,0.18808,0.18445,0.15636,0.16262,0.11069,0.067243,0.051011,0.12301,0.12791
0.20342,0.18923,0.14219,0.1024,0.080083,0.093865,0.10853,0.070304,0.10431,0.07836,0.06146,0.064629,0.073498,0.05299,0.095339
0.18839,0.17233,0.18385,0.1379,0.18439,0.15445,0.089818,0.039442,0.040817,0.062726,0.085306,0.097003,0.045568,0.077714,0.060668
0.1979,0.23083,0.1867,0.1927,0.15849,0.16562,0.082323,0.073707,0.030488,0.05908,0.075189,0.034188,0.059211,0.051668,0.024248
0.13909,0.12905,0.15276,0.1092,0.10092,0.064052,0.050934,0.041241,0.056845,0.063039,0.064061,0.070511,0.038028,0.030484,0.066804
0.037366,0.082803,0.07274,0.073347,0.046487,0.030764,0.032504,0.061824,0.025234,0.04264,0.059711,0.035272,0.072616,0.079869,0.10963
0.025579,0.027071,0.037328,0.051419,0.046673,0.019162,0.047411,0.048505,0.055499,0.051024,0.045295,0.036947,0.053189,0.081981,0.093208
0.025763,0.028973,0.034501,0.048847,0.026217,0.097752,0.064171,0.062,0.024539,0.094789,0.074405,0.073288,0.054275,0.034851,0.05543
0.049403,0.033209,0.067152,0.058294,0.16191,0.24217,0.21454,0.18672,0.075474,0.10657,0.074596,0.070808,0.051865,0.063172,0.036722
0.051955,0.047859,0.043581,0.17703,0.2357,0.34942,0.43088,0.31884,0.12027,0.30946,0.20963,0.21684,0.13738,0.094907,0.059097
0.055722,0.060979,0.079303,0.24269,0.22969,0.24224,0.6443,0.36507,0.35447,0.45065,0.51796,0.61509,0.44154,0.16816,0.086229
0.058661,0.049098,0.085946,0.32066,0.49389,0.57329,0.34204,0.61814,0.61989,0.66415,0.61957,0.67955,0.59102,0.29037,0.10105
0.055949,0.052185,0.13236,0.3947,0.55303,0.60974,0.62124,0.56051,0.53418,0.54044,0.61896,0.56957,0.55039,0.38491,0.15123
0.027108,0.037549,0.10569,0.31273,0.37021,0.47445,0.57246,0.4476,0.50514,0.63694,0.55138,0.57764,0.29573,0.12277,0.20931
0.032981,0.049923,0.087691,0.16811,0.38202,0.51485,0.31545,0.12394,0.59373,0.56514,0.55127,0.48312,0.39722,0.2391,0.14536
0.028208,0.045663,0.064822,0.08639,0.12792,0.17261,0.19723,0.054035,0.17771,0.44111,0.47624,0.25288,0.22483,0.16277,0.12362
0.024028,0.055824,0.043714,0.05915,0.037422,0.056936,0.085275,0.12737,0.25084,0.2875,0.1715,0.40699,0.22508,0.06281,0.053023
0.035073,0.046067,0.083707,0.015103,0.091317,0.051877,0.067709,0.1286,0.1943,0.33247,0.13778,0.28809,0.11622,0.065444,0.054721
0.084118,0.029351,0.073536,0.046098,0.14574,0.078436,0.057151,0.10399,0.18353,0.5347,0.14006,0.26254,0.086043,0.07485,0.052943
