0.068021,0.054956,0.026866,0.12097,0.065171,0.18793,0.10957,0.057025,0.044348,0.12572,0.12425,0.075603,0.082607,0.080169,0.054991,0.057208
0.050222,0.036372,0.060473,0.054349,0.090225,0.12102,0.11955,0.041919,0.049115,0.12389,0.090654,0.094236,0.15385,0.10437,0.068476,0.078699
0.068566,0.046352,0.054624,0.054138,0.052662,0.0654,0.060078,0.090759,0.10286,0.13065,0.14808,0.11337,0.083613,0.062105,0.080769,0.049378
0.088973,0.05608,0.029101,0.067444,0.0461,0.11165,0.063043,0.063126,0.086734,0.14761,0.33236,0.3746,0.53794,0.18568,0.063377,0.036584
0.041645,0.049379,0.049369,0.082208,0.18131,0.13303,0.10694,0.036447,0.052133,0.20863,0.37338,0.44612,0.37936,0.22036,0.052206,0.059455
0.1757,0.057696,0.032149,0.054362,0.099756,0.049579,0.14029,0.20723,0.043814,0.064249,0.19074,0.1181,0.25824,0.042123,0.057781,0.05154
0.26606,0.041399,0.054034,0.11812,0.15073,0.064857,0.19699,0.18206,0.031778,0.072193,0.067536,0.099549,0.13052,0.081888,0.032501,0.041811
0.2227,0.11505,0.041993,0.073405,0.051996,0.071976,0.066899,0.092802,0.039065,0.03226,0.03677,0.051898,0.052464,0.06759,0.047494,0.046541
0.28499,0.18817,0.029493,0.088516,0.19581,0.097484,0.16149,0.27363,0.10419,0.041161,0.051461,0.11004,0.10382,0.24751,0.066498,0.11903
0.42465,0.33891,0.04985,0.13795,0.16885,0.33355,0.59676,0.49936,0.47253,0.077375,0.097976,0.384,0.37123,0.27485,0.17827,0.2555
0.29265,0.23385,0.074312,0.18094,0.19948,0.21839,0.3734,0.51176,0.14828,0.10865,0.0726,0.21147,0.10824,0.071809,0.25177,0.23903
0.12403,0.1118,0.061687,0.053468,0.060909,0.12033,0.20213,0.20165,0.071411,0.055254,0.06169,0.10923,0.10475,0.11999,0.068488,0.079996
0.23205,0.10038,0.046815,0.042107,0.070273,0.15821,0.098009,0.23783,0.074531,0.10757,0.045463,0.032394,0.042857,0.076522,0.066385,0.039754
0.16389,0.058595,0.033529,0.045687,0.051574,0.036212,0.064414,0.086593,0.080837,0.031758,0.035656,0.041449,0.050081,0.12087,0.11237,0.03723
0.1371,0.083231,0.036288,0.016201,0.026757,0.052711,0.072978,0.057631,0.048033,0.020443,0.036407,0.049327,0.061382,0.13327,0.083142,0.013687
0.033718,0.099731,0.036531,0.016297,0.026992,0.052942,0.072472,0.058542,0.049102,0.021387,0.036132,0.048938,0.060942,0.13597,0.13403,0.024119
